OPEN;CLOSE;HIGH;LOW;TIMESTAMP;TIME;TEXT
90.34;90.48;90.57;90.27;1412260500000;Thu Oct 02 16:35:00 CEST 2014;90.34 90.57 Oct 2 16:35 90.48 90.27
90.48;90.41;90.67;90.39;1412260800000;Thu Oct 02 16:40:00 CEST 2014;90.48 90.67 Oct 2 16:40 90.41 90.39
90.41;90.42;90.49;90.29;1412261100000;Thu Oct 02 16:45:00 CEST 2014;90.41 90.49 Oct 2 16:45 90.42 90.29
90.42;90.27;90.42;90.07;1412261400000;Thu Oct 02 16:50:00 CEST 2014;90.42 90.42 Oct 2 16:50 90.27 90.07
90.27;90.24;90.32;90.02;1412261700000;Thu Oct 02 16:55:00 CEST 2014;90.27 90.32 Oct 2 16:55 90.24 90.02
90.24;90.08;90.29;90.08;1412262000000;Thu Oct 02 17:00:00 CEST 2014;90.24 90.29 Oct 2 17:00 90.08 90.08
90.08;90.09;90.09;90.02;1412262300000;Thu Oct 02 17:05:00 CEST 2014;90.08 90.09 Oct 2 17:05 90.09 90.02
90.09;89.88;90.14;89.87;1412262600000;Thu Oct 02 17:10:00 CEST 2014;90.09 90.14 Oct217:10 89.88 89.87
89.88;89.84;90.01;89.77;1412262900000;Thu Oct 02 17:15:00 CEST 2014;89.88 90.01 Oct217z15 89.84 89.77
89.84;89.67;89.97;89.64;1412263200000;Thu Oct 02 17:20:00 CEST 2014;89.84 89.97 Oct 2 17:20 89.67 89.64
89.67;89.57;89.72;89.34;1412263500000;Thu Oct 02 17:25:00 CEST 2014;89.67 89.72 Oct 2 17:25 89.57 89.34
89.57;89.59;89.83;89.57;1412263800000;Thu Oct 02 17:30:00 CEST 2014;89.57 89.83 Oct 2 17:30 89.59 89.57
89.59;89.81;89.92;89.53;1412264100000;Thu Oct 02 17:35:00 CEST 2014;89.59 89.92 Oct 2 17:35 89.81 89.53
89.81;89.83;89.94;89.74;1412264400000;Thu Oct 02 17:40:00 CEST 2014;89.81 89.94 Oct 2 17:40 89.83 89.74
89.83;89.97;90.09;89.81;1412264700000;Thu Oct 02 17:45:00 CEST 2014;89.83 90.09 Oct 2 17:45 89.97 89.81
89.97;89.89;90.09;89.86;1412265000000;Thu Oct 02 17:50:00 CEST 2014;89.97 90.09 Oct 2 17:50 89.89 89.86
89.89;89.89;90.01;89.88;1412265300000;Thu Oct 02 17:55:00 CEST 2014;89.89 90.01 Oct217z55 89.89 89.88
89.89;89.84;90.02;89.83;1412265600000;Thu Oct 02 18:00:00 CEST 2014;89.89 90.02 Oct 2 18:00 89.84 89.83
89.84;90.04;90.07;89.84;1412265900000;Thu Oct 02 18:05:00 CEST 2014;89.84 90.07 Oct 2 18:05 90.04 89.84
90.04;90.19;90.37;90.02;1412266200000;Thu Oct 02 18:10:00 CEST 2014;90.04 90.37 Oct218:10 90.19 90.02
90.19;90.27;90.28;90.12;1412266500000;Thu Oct 02 18:15:00 CEST 2014;90.19 90.28 Oct218z15 90.27 90.12
90.27;90.32;90.39;90.22;1412266800000;Thu Oct 02 18:20:00 CEST 2014;90.27 90.39 Oct 2 18:20 90.32 90.22
90.32;90.28;90.34;90.21;1412267100000;Thu Oct 02 18:25:00 CEST 2014;90.32 90.34 Oct 2 18:25 90.28 90.21
90.28;90.39;90.39;90.28;1412267400000;Thu Oct 02 18:30:00 CEST 2014;90.28 90.39 Oct 2 18:30 90.39 90.28
90.39;90.57;90.59;90.37;1412267700000;Thu Oct 02 18:35:00 CEST 2014;90.39 90.59 Oct 2 18:35 90.57 90.37
90.57;90.63;90.63;90.47;1412268000000;Thu Oct 02 18:40:00 CEST 2014;90.57 90.63 Oct 2 18:40 90.63 90.47
90.63;90.41;90.69;90.39;1412268300000;Thu Oct 02 18:45:00 CEST 2014;90.63 90.69 Oct 2 18:45 90.41 90.39
90.41;90.68;90.71;90.39;1412268600000;Thu Oct 02 18:50:00 CEST 2014;90.41 90.71 Oct218:50 90.68 90.39
90.68;90.57;90.68;90.52;1412268900000;Thu Oct 02 18:55:00 CEST 2014;90.68 90.68 Oct 2 18:55 90.57 90.52
90.57;90.49;90.64;90.47;1412269200000;Thu Oct 02 19:00:00 CEST 2014;90.57 90.64 Oct 2 19:00 90.49 90.47
90.49;90.42;90.49;90.37;1412269500000;Thu Oct 02 19:05:00 CEST 2014;90.49 90.49 Oct 2 19:05 90.42 90.37
90.42;90.32;90.47;90.28;1412269800000;Thu Oct 02 19:10:00 CEST 2014;90.42 90.47 Oct 2 19:10 90.32 90.28
90.32;90.52;90.57;90.32;1412270100000;Thu Oct 02 19:15:00 CEST 2014;90.32 90.57 Oct219:15 90.52 90.32
90.52;90.61;90.67;90.52;1412270400000;Thu Oct 02 19:20:00 CEST 2014;90.52 90.67 Oct 2 19:20 90.61 90.52
90.61;90.72;90.82;90.59;1412270700000;Thu Oct 02 19:25:00 CEST 2014;90.61 90.82 Oct 2 19:25 90.72 90.59
90.72;90.72;90.77;90.68;1412271000000;Thu Oct 02 19:30:00 CEST 2014;90.72 90.77 Oct 2 19:30 90.72 90.68
90.72;90.61;90.74;90.54;1412271300000;Thu Oct 02 19:35:00 CEST 2014;90.72 90.74 Oct 2 19:35 90.61 90.54
90.61;90.87;90.94;90.54;1412271600000;Thu Oct 02 19:40:00 CEST 2014;90.61 90.94 Oct 2 19:40 90.87 90.54
90.87;90.82;90.89;90.73;1412271900000;Thu Oct 02 19:45:00 CEST 2014;90.87 90.89 Oct 2 19:45 90.82 90.73
90.82;90.99;90.99;90.76;1412272200000;Thu Oct 02 19:50:00 CEST 2014;90.82 90.99 Oct 2 19:50 90.99 90.76
90.99;91.13;91.19;90.97;1412272500000;Thu Oct 02 19:55:00 CEST 2014;90.99 91.19 Oct219:55 91.13 90.97
91.13;90.92;91.27;90.87;1412272800000;Thu Oct 02 20:00:00 CEST 2014;91.13 91.27 Oct2 20:00 90.92 90.87
90.92;90.87;90.92;90.74;1412273100000;Thu Oct 02 20:05:00 CEST 2014;90.92 90.92 Oct 2 20:05 90.87 90.74
90.87;90.82;91.07;90.72;1412273400000;Thu Oct 02 20:10:00 CEST 2014;90.87 91.07 Oct 2 20:10 90.82 90.72
90.82;90.82;90.94;90.68;1412273700000;Thu Oct 02 20:15:00 CEST 2014;90.82 90.94 Oct 2 20:15 90.82 90.68
90.82;90.99;90.99;90.81;1412274000000;Thu Oct 02 20:20:00 CEST 2014;90.82 90.99 Oct 2 20:20 90.99 90.81
90.99;91.23;91.29;90.97;1412274300000;Thu Oct 02 20:25:00 CEST 2014;90.99 91.29 Oct 2 20:25 91.23 90.97
91.23;91.17;91.32;91.16;1412274600000;Thu Oct 02 20:30:00 CEST 2014;91.23 91.32 Oct 2 20:30 91.17 91.16
91.27;91.27;91.27;91.24;1412274900000;Thu Oct 02 20:35:00 CEST 2014;91.27 91.27 Oct 2 20:35 91.27 91.24
91.27;91.27;91.36;91.24;1412275200000;Thu Oct 02 20:40:00 CEST 2014;91.27 91.36 Oct 2 20:40 91.27 91.24
91.27;91.29;91.38;91.27;1412275500000;Thu Oct 02 20:45:00 CEST 2014;91.27 91.38 Oct 2 20:45 91.29 91.27
91.29;91.27;91.32;91.24;1412275800000;Thu Oct 02 20:50:00 CEST 2014;91.29 91.32 Oct 2 20:50 91.27 91.24
91.27;91.27;91.29;91.24;1412276100000;Thu Oct 02 20:55:00 CEST 2014;91.27 91.29 Oct 2 20:55 91.27 91.24
91.27;91.18;91.27;91.18;1412276400000;Thu Oct 02 21:00:00 CEST 2014;91.27 91.27 Oct2 21:00 91.18 91.18
91.18;91.26;91.27;91.18;1412276700000;Thu Oct 02 21:05:00 CEST 2014;91.18 91.27 Oct2 21:05 91.26 91.18
91.26;91.27;91.34;91.22;1412277000000;Thu Oct 02 21:10:00 CEST 2014;91.26 91.34 Oct2 21:10 91.27 91.22
91.27;91.29;91.32;91.27;1412277300000;Thu Oct 02 21:15:00 CEST 2014;91.27 91.32 Oct2 21:15 91.29 91.27
91.29;91.28;91.36;91.28;1412277600000;Thu Oct 02 21:20:00 CEST 2014;91.29 91.36 Oct2 21:20 91.28 91.28
91.28;91.27;91.29;91.23;1412277900000;Thu Oct 02 21:25:00 CEST 2014;91.28 91.29 Oct 2 21:25 91.27 91.23
91.27;91.27;91.27;91.22;1412278200000;Thu Oct 02 21:30:00 CEST 2014;91.27 91.27 Oct2 21:30 91.27 91.22
91.27;91.22;91.27;91.22;1412278500000;Thu Oct 02 21:35:00 CEST 2014;91.27 91.27 Oct2 21:35 91.22 91.22
91.22;91.19;91.24;91.19;1412278800000;Thu Oct 02 21:40:00 CEST 2014;91.22 91.24 Oct 2 21:40 91.19 91.19
91.19;91.24;91.28;91.19;1412279100000;Thu Oct 02 21:45:00 CEST 2014;91.19 91.28 Oct2 21:45 91.24 91.19
91.24;91.27;91.28;91.24;1412279400000;Thu Oct 02 21:50:00 CEST 2014;91.24 91.28 Oct2 21:50 91.27 91.24
91.27;91.22;91.27;91.22;1412279700000;Thu Oct 02 21:55:00 CEST 2014;91.27 91.27 Oct2 21:55 91.22 91.22
91.22;91.24;91.24;91.21;1412280000000;Thu Oct 02 22:00:00 CEST 2014;91.22 91.24 Oct 2 22:00 91.24 91.21
91.24;91.24;91.26;91.23;1412280300000;Thu Oct 02 22:05:00 CEST 2014;91.24 91.26 Oct 2 22:05 91.24 91.23
91.24;91.43;91.51;91.24;1412280600000;Thu Oct 02 22:10:00 CEST 2014;91.24 91.51 Oct2 22:10 91.43 91.24
